Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1B4NGMlOMZpT33KFQLT1c5,"English Lane","Blue Slide Park","Mac Miller",2011-11-08,97285,42,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:43Z,"","Rostrum Records",0.258,0.507,8,-9.501,1,0.0372,0.191,0.00000116,0.0983,0.227,141.657,4
spotify:track:7iwoe73rCpDR8JtWrvopOc,"Blue Slide Park","Blue Slide Park","Mac Miller",2011-11-08,149384,50,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:43Z,"","Rostrum Records",0.628,0.858,0,-5.629,0,0.282,0.0571,0,0.276,0.16,95.515,4
spotify:track:1s2nB9eho36iLvobQTU59o,"Party On Fifth Ave.","Blue Slide Park","Mac Miller",2011-11-08,173516,54,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:43Z,"","Rostrum Records",0.617,0.822,9,-5.21,1,0.328,0.0635,0,0.095,0.664,97.67,4
spotify:track:5sLK6MEejVRPJXIytCXOe2,"PA Nights","Blue Slide Park","Mac Miller",2011-11-08,184675,49,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:43Z,"","Rostrum Records",0.517,0.616,0,-6.848,0,0.231,0.409,0,0.101,0.235,88.936,4
spotify:track:7535tsCb3sF5bfOGS1AXno,"Frick Park Market","Blue Slide Park","Mac Miller",2011-11-08,197559,53,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:43Z,"","Rostrum Records",0.592,0.808,6,-5.643,1,0.0598,0.0225,0,0.293,0.227,156.125,4
spotify:track:1weTjXjX5vHMGaMcib5AyK,"Smile Back","Blue Slide Park","Mac Miller",2011-11-08,162008,56,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:43Z,"","Rostrum Records",0.53,0.834,2,-6.547,1,0.156,0.000283,0,0.363,0.235,151.349,4
spotify:track:7fCMsAcxyjY92bYODyt5AT,"Under The Weather","Blue Slide Park","Mac Miller",2011-11-08,260973,53,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:43Z,"","Rostrum Records",0.715,0.794,10,-5.426,1,0.163,0.132,0,0.361,0.606,119.994,4
spotify:track:6jOHF2NY77SFhpMHLZtw8D,"Of The Soul","Blue Slide Park","Mac Miller",2011-11-08,213303,51,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:43Z,"","Rostrum Records",0.469,0.699,2,-7.614,0,0.34,0.643,0,0.0593,0.4,89.021,4
spotify:track:4uPtptNoRBqkwMIv7X3UeN,"My Team","Blue Slide Park","Mac Miller",2011-11-08,145127,42,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:43Z,"","Rostrum Records",0.698,0.758,11,-7.228,1,0.161,0.0422,0,0.157,0.346,105.014,4
spotify:track:2wJ4CKIAU8hGQv08GICsxg,"Up All Night","Blue Slide Park","Mac Miller",2011-11-08,209287,46,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:43Z,"","Rostrum Records",0.655,0.939,4,-4.787,0,0.136,0.0108,0,0.333,0.573,99.963,4
spotify:track:4K4HDlAWEKGIWvaKrzFmJ3,"Loitering","Blue Slide Park","Mac Miller",2011-11-08,191595,40,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:43Z,"","Rostrum Records",0.572,0.943,4,-4.188,1,0.312,0.144,0,0.0773,0.731,148.05,4
spotify:track:4sEP4uEAadDCDgLf2FpoXL,"Hole In My Pocket","Blue Slide Park","Mac Miller",2011-11-08,35723,40,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:43Z,"","Rostrum Records",0.306,0.159,8,-18.19,1,0.0344,0.423,0.481,0.0928,0.216,70.935,4
spotify:track:6ftLevH53r4Dg7LU7Hr9tY,"Diamonds & Gold","Blue Slide Park","Mac Miller",2011-11-08,197852,48,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:43Z,"","Rostrum Records",0.438,0.793,5,-6.883,0,0.346,0.109,0,0.241,0.462,175.876,4
spotify:track:2kT8LyskbN051qAEHp2tqA,"Missed Calls","Blue Slide Park","Mac Miller",2011-11-08,178902,72,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:43Z,"","Rostrum Records",0.558,0.535,5,-10.37,1,0.163,0.643,0,0.101,0.464,169.859,4
spotify:track:5KmWwF5KsQgcBJy3oMXTAq,"Man In The Hat","Blue Slide Park","Mac Miller",2011-11-08,196271,45,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:43Z,"","Rostrum Records",0.777,0.788,7,-8.025,1,0.203,0.545,0,0.0997,0.546,128.218,4
spotify:track:1OJJoWFCdApIz4hClM5zOI,"One Last Thing","Blue Slide Park","Mac Miller",2011-11-08,178584,48,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:43Z,"","Rostrum Records",0.384,0.767,9,-7.04,1,0.0938,0.539,0.00000103,0.135,0.22,100.744,4
