Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4jXl6VtkFFKIt3ycUQc5LT,"Circles","Circles","Mac Miller",2020-01-17,170360,68,false,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:47:08Z,"","Warner Records",0.61,0.0316,9,-15.186,1,0.0486,0.896,0.00461,0.108,0.37,151.964,4
spotify:track:3WfSNAoj2D8C9noPSGZZFM,"Complicated","Circles","Mac Miller",2020-01-17,232211,63,false,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:47:08Z,"","Warner Records",0.831,0.36,0,-8.073,1,0.052,0.136,0.00217,0.0703,0.601,75.014,4
spotify:track:2hwOoMtWPtTSSn6WHV7Vp5,"Blue World","Circles","Mac Miller",2020-01-17,209440,73,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:47:08Z,"","Warner Records",0.742,0.553,8,-8.98,1,0.419,0.389,0,0.0694,0.508,84.931,4
spotify:track:1DWZUa5Mzf2BwzpHtgbHPY,"Good News","Circles","Mac Miller",2020-01-17,342040,70,false,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:47:08Z,"","Warner Records",0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088,4
spotify:track:3R8CyhJfVjvgIROd5RSGhQ,"I Can See","Circles","Mac Miller",2020-01-17,220853,59,false,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:47:08Z,"","Warner Records",0.699,0.503,5,-9.922,0,0.0882,0.391,0.0126,0.0996,0.0546,114.86,4
spotify:track:1OuN92HcVG6NVpWbeESNB3,"Everybody","Circles","Mac Miller",2020-01-17,256506,60,false,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:47:08Z,"","Warner Records",0.875,0.599,9,-9.077,0,0.138,0.0333,0.0143,0.113,0.112,152.061,4
spotify:track:3Qa944OTMZkg8DHjET8JQv,"Woods","Circles","Mac Miller",2020-01-17,286386,75,false,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:47:08Z,"","Warner Records",0.779,0.362,0,-10.847,1,0.0474,0.135,0.206,0.111,0.46,85.011,4
spotify:track:2Yv2mHzr5AQavVdwQjEokV,"Hand Me Downs","Circles","Mac Miller",2020-01-17,298440,69,false,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:47:08Z,"","Warner Records",0.677,0.33,2,-11.198,1,0.149,0.474,0.000871,0.064,0.336,68.985,4
spotify:track:0udOCZp7yk0Ml92C0k8H8D,"That's On Me","Circles","Mac Miller",2020-01-17,217868,59,false,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:47:08Z,"","Warner Records",0.583,0.499,10,-10.086,1,0.0261,0.591,0.0104,0.33,0.342,155.199,3
spotify:track:6CrnvqCxBKVWahSiQwOesM,"Hands","Circles","Mac Miller",2020-01-17,199981,56,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:47:08Z,"","Warner Records",0.739,0.627,0,-8.608,1,0.171,0.0459,0,0.159,0.542,74.962,4
spotify:track:1kwnxJNVl7cwcU98RvMBaR,"Surf","Circles","Mac Miller",2020-01-17,330506,68,false,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:47:08Z,"","Warner Records",0.828,0.182,1,-13.066,0,0.166,0.754,0.0706,0.15,0.231,147.279,4
spotify:track:26G5nmIx7Yvq79bIIluyZV,"Once A Day","Circles","Mac Miller",2020-01-17,160266,60,false,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:47:08Z,"","Warner Records",0.762,0.054,2,-16.735,0,0.0503,0.947,0,0.124,0.339,96.838,4
