Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0cDvVjiJ8iKCYcypWJ71ay,"Doors","GO:OD AM","Mac Miller",2015-09-18,78013,55,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:39Z,"","Warner Records",0.497,0.177,2,-15.09,0,0.0392,0.916,0.00000541,0.343,0.221,134.115,4
spotify:track:6ulzLZnp6Y2TVLh1inckeJ,"Brand Name","GO:OD AM","Mac Miller",2015-09-18,302133,58,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:39Z,"","Warner Records",0.385,0.71,9,-5.158,0,0.0805,0.0565,0.00000724,0.0632,0.398,148.385,4
spotify:track:09VACB0akCnPueTFnjN5Pn,"Rush Hour","GO:OD AM","Mac Miller",2015-09-18,201840,64,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:39Z,"","Warner Records",0.602,0.472,6,-5.375,0,0.265,0.262,0,0.172,0.304,163.817,4
spotify:track:5dhYmSVGhAVVSf5uTwj7hv,"Two Matches (feat. Ab-Soul)","GO:OD AM","Mac Miller;Ab-Soul",2015-09-18,276386,51,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:39Z,"","Warner Records",0.622,0.873,2,-4.995,1,0.298,0.204,0,0.572,0.492,79.715,4
spotify:track:4z0PnuB07fxtVZZRWsCfxb,"100 Grandkids","GO:OD AM","Mac Miller",2015-09-18,278506,62,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:39Z,"","Warner Records",0.735,0.749,10,-3.766,0,0.0874,0.371,0,0.47,0.373,93.718,4
spotify:track:613sTvP8USXm8SEKWsqCuv,"Time Flies (feat. Lil B)","GO:OD AM","Mac Miller;Lil B",2015-09-18,173013,50,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:39Z,"","Warner Records",0.527,0.807,9,-5.472,0,0.394,0.585,0,0.34,0.72,79.788,4
spotify:track:6GnhWMhgJb7uyiiPEiEkDA,"Weekend (feat. Miguel)","GO:OD AM","Mac Miller;Miguel",2015-09-18,208080,76,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:39Z,"r&b","Warner Records",0.843,0.435,8,-8.442,1,0.178,0.47,0,0.147,0.19,120.058,4
spotify:track:7rdyAfIm1t6h6I1gyLtD17,"Clubhouse","GO:OD AM","Mac Miller",2015-09-18,180866,63,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:39Z,"","Warner Records",0.785,0.616,0,-5.927,0,0.239,0.235,0,0.2,0.907,115.187,4
spotify:track:7odIekt1GqLVEAAWdnd9mJ,"In the Bag","GO:OD AM","Mac Miller",2015-09-18,275506,50,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:39Z,"","Warner Records",0.717,0.634,1,-6.887,1,0.409,0.301,0,0.396,0.564,143.812,4
spotify:track:7qfur8OfEOABgenV3Wf0JK,"Break the Law","GO:OD AM","Mac Miller",2015-09-18,195840,55,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:39Z,"","Warner Records",0.464,0.775,10,-5.374,0,0.263,0.193,0,0.155,0.438,148.442,4
