Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6oUs797UdL3tNdFDVV4IRw,"Kickin' Incredibly Dope Shit (Intro)","K.I.D.S.","Mac Miller",2010-08-13,203359,42,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:30Z,"","Rostrum Records",0.479,0.776,0,-6.759,1,0.439,0.0445,0,0.256,0.758,149.926,4
spotify:track:18tUBU2aXevGe0JRWVodwr,"Outside","K.I.D.S.","Mac Miller",2010-08-13,217285,44,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:30Z,"","Rostrum Records",0.475,0.854,7,-3.779,1,0.132,0.00658,0,0.367,0.27,80.155,4
spotify:track:2mGKUCZ0Ku32Ic6pAlSs3f,"Get Em Up","K.I.D.S.","Mac Miller",2010-08-13,186238,48,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:30Z,"","Rostrum Records",0.639,0.925,9,-2.948,0,0.148,0.366,0,0.157,0.737,85.118,4
spotify:track:5C522T9Wj9oqiQk3AvKKue,"Nikes on My Feet","K.I.D.S.","Mac Miller",2010-08-13,164631,47,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:30Z,"","Rostrum Records",0.801,0.57,9,-5.103,0,0.265,0.559,0,0.111,0.565,92.058,4
spotify:track:0WQ57vmeq2MMzyvTiLZf5f,"Senior Skip Day","K.I.D.S.","Mac Miller",2010-08-13,175782,59,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:30Z,"","Rostrum Records",0.522,0.725,5,-5.184,0,0.306,0.554,0,0.799,0.809,108.364,4
spotify:track:2QGVKiAGTa1YcDqPMhAzF7,"The Spins","K.I.D.S.","Mac Miller;Empire Of The Sun",2010-08-13,195873,86,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:30Z,"","Rostrum Records",0.794,0.766,9,-3.894,0,0.0377,0.0135,0,0.0785,0.55,127.006,4
spotify:track:6OS3nd1CFSR98P56VqFsde,"Don't Mind If I Do","K.I.D.S.","Mac Miller",2010-08-13,138287,53,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:30Z,"","Rostrum Records",0.737,0.921,6,-4.91,1,0.213,0.15,0,0.301,0.713,105.055,4
spotify:track:0KXw2WMf0ZrXeVdJIIyWdC,"Paper Route (feat. Chevy Woods)","K.I.D.S.","Mac Miller;Chevy Woods",2010-08-13,171984,42,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:30Z,"","Rostrum Records",0.578,0.852,1,-5.059,1,0.29,0.0859,0,0.34,0.573,80.917,4
spotify:track:55Nbdz3HZeDUkaWqZe4vSa,"Good Evening","K.I.D.S.","Mac Miller",2010-08-13,243066,50,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:30Z,"","Rostrum Records",0.531,0.78,6,-6.47,1,0.426,0.0496,0,0.363,0.686,115.274,5
spotify:track:6rHd6Tr1kGsz8ob3heSx3i,"Ride Around","K.I.D.S.","Mac Miller",2010-08-13,144400,47,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:30Z,"","Rostrum Records",0.759,0.898,4,-4.096,1,0.282,0.033,0,0.31,0.556,167.885,4
spotify:track:4GbazUiaLPKj2VmCVykw53,"Knock Knock","K.I.D.S.","Mac Miller",2010-08-13,197929,69,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:30Z,"","Rostrum Records",0.682,0.934,4,-2.527,0,0.152,0.107,0,0.749,0.483,109.027,4
spotify:track:4gmVVZXUd6hymiwGmgZu0i,"Mad Flava, Heavy Flow (Interlude) [feat. DJ Bonics]","K.I.D.S.","Mac Miller;DJ Bonics",2010-08-13,26882,6,false,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:30Z,"","Rostrum Records",0.598,0.964,8,-4.659,0,0.425,0.392,0.0011,0.632,0.943,94.089,3
spotify:track:3932AyOIsoMQwKjFqaSg4R,"Kool Aid & Frozen Pizza","K.I.D.S.","Mac Miller",2010-08-13,157540,65,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:30Z,"","Rostrum Records",0.66,0.845,11,-4.57,1,0.301,0.154,0,0.294,0.706,89.769,4
spotify:track:2qs06cV6yNi1DQgCQY8SOk,"All I Want Is You","K.I.D.S.","Mac Miller",2010-08-13,223248,53,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:30Z,"","Rostrum Records",0.589,0.768,1,-4.763,1,0.205,0.113,0.000102,0.129,0.505,82.899,4
spotify:track:7gdM4vrCT4omob2ecRsQMJ,"Poppy","K.I.D.S.","Mac Miller",2010-08-13,172732,41,false,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:30Z,"","Rostrum Records",0.806,0.699,7,-5.791,1,0.291,0.508,0,0.106,0.459,94.616,4
spotify:track:2ozVVlVCQFikNQt49W6vdt,"Face In The Crowd","K.I.D.S.","Mac Miller",2010-08-13,208792,40,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:30Z,"","Rostrum Records",0.394,0.918,2,-5.941,0,0.503,0.23,0,0.254,0.179,94.295,4
