Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4SfMIztNqUE1zURymOrJBs,"Love Me As I Have Loved You","Macadelic","Mac Miller",2012-03-23,75421,38,false,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:50Z,"","Rostrum Records",0.374,0.149,0,-25.426,0,0.0534,0.773,0.00105,0.723,0.32,139.096,4
spotify:track:2qPDE4Fxozgguo8pn3A4Kz,"Desperado","Macadelic","Mac Miller",2012-03-23,240003,49,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:50Z,"","Rostrum Records",0.378,0.903,8,-5.232,0,0.514,0.148,0,0.188,0.206,179.262,4
spotify:track:3jJ9vQJlEOinUKiO7oT3ys,"Loud","Macadelic","Mac Miller",2012-03-23,170861,62,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:50Z,"","Rostrum Records",0.635,0.866,1,-4.315,1,0.0402,0.00411,0.0000108,0.391,0.254,140.013,4
spotify:track:5MRjor9laqEIolgaN20iwL,"Thoughts from a Balcony","Macadelic","Mac Miller",2012-03-23,185779,66,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:50Z,"","Rostrum Records",0.48,0.64,6,-6.153,1,0.323,0.158,0,0.109,0.475,87.327,4
spotify:track:2aY4KZKHt9XhXPrWpAQmhB,"Aliens Fighting Robots (feat. Sir Michael Rocks)","Macadelic","Mac Miller;Sir Michael Rocks",2012-03-23,279568,44,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:50Z,"","Rostrum Records",0.645,0.804,9,-4.743,1,0.221,0.264,0,0.208,0.549,145.999,4
spotify:track:7AMUyeXppOBvF976QZ7K0z,"Vitamins","Macadelic","Mac Miller",2012-03-23,183135,47,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:50Z,"","Rostrum Records",0.65,0.739,2,-2.757,1,0.0364,0.493,0.000205,0.382,0.487,139.973,4
spotify:track:7tZVJdsn6uvS49i6klrbTB,"Fight the Feeling (feat. Kendrick Lamar & Iman Omari)","Macadelic","Mac Miller;Iman Omari;Kendrick Lamar",2012-03-23,301769,62,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:50Z,"indie r&b,alternative r&b,hiphop,west coast hiphop","Rostrum Records",0.569,0.881,11,-5.873,0,0.365,0.111,0,0.655,0.811,148.067,4
spotify:track:1Xc3YICi0xHXPNiYurPI2S,"Lucky Ass Bitch (with Juicy J)","Macadelic","Mac Miller;Juicy J",2012-03-23,257331,51,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:50Z,"crunk","Rostrum Records",0.738,0.629,1,-5.79,0,0.263,0.00766,0,0.656,0.195,146.007,4
spotify:track:17u8liQfMVc8WKiTzmdbzq,"The Mourning After","Macadelic","Mac Miller",2012-03-23,188065,59,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:50Z,"","Rostrum Records",0.593,0.634,7,-9.726,1,0.302,0.872,0.000553,0.432,0.396,80.117,4
spotify:track:6C3m72cTfzoqDESPxOdRWQ,"1 Threw 8","Macadelic","Mac Miller",2012-03-23,237076,49,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:50Z,"","Rostrum Records",0.444,0.666,7,-8.156,1,0.372,0.0123,0.0000494,0.115,0.259,80.056,4
spotify:track:1LKXp1vwm2VEuS7wnE0Lmz,"Ignorant (feat. Cam'ron)","Macadelic","Mac Miller;Cam'ron",2012-03-23,213772,42,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:50Z,"east coast hiphop","Rostrum Records",0.73,0.729,4,-6.526,1,0.19,0.0572,0,0.298,0.459,133.966,4
spotify:track:1TyMq99cDIWt4ftjDuwDcR,"The Question (feat. Lil Wayne)","Macadelic","Mac Miller;Lil Wayne",2012-03-23,371870,61,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:50Z,"rap,hiphop","Rostrum Records",0.736,0.583,10,-6.088,1,0.109,0.0555,0.00367,0.124,0.267,134.99,4
spotify:track:2JiiS4WzAlEzZonvNbebYY,"Angels (When She Shuts Her Eyes)","Macadelic","Mac Miller",2012-03-23,203326,53,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:50Z,"","Rostrum Records",0.529,0.726,11,-6.318,1,0.206,0.158,0.00000189,0.532,0.222,139.786,4
spotify:track:5zsV6E1MppsFdq5KAsGfFY,"Sunlight (feat. Iman Omari)","Macadelic","Mac Miller;Iman Omari",2012-03-23,165299,47,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:50Z,"indie r&b,alternative r&b","Rostrum Records",0.787,0.785,10,-6.201,0,0.237,0.542,0.0000842,0.298,0.896,94.022,4
spotify:track:57RXXd4FvvrxyVIz0uc0lK,"Clarity","Macadelic","Mac Miller",2012-03-23,275071,50,false,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:50Z,"","Rostrum Records",0.584,0.429,1,-6.153,1,0.0552,0.645,0.00154,0.113,0.162,82.001,4
spotify:track:4pHnCKUHjIeUfGc6COHAyY,"America (feat. Casey Veggies & Joey Bada$$)","Macadelic","Mac Miller;Joey Bada$$;Casey Veggies",2012-03-23,273305,47,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:45:50Z,"hiphop,jazz rap,rap","Rostrum Records",0.793,0.761,10,-6.118,0,0.129,0.0552,0.248,0.112,0.68,89.992,4
