Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:01z2fBGB8Hl3Jd3zXe4IXR,"Come Back to Earth","Swimming","Mac Miller",2018-08-03,161840,81,false,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:59Z,"","Warner Records",0.272,0.238,2,-12.148,0,0.0349,0.89,0.00925,0.275,0.119,83.507,4
spotify:track:5p7GiBZNL1afJJDUrOA6C8,"Hurt Feelings","Swimming","Mac Miller",2018-08-03,245640,68,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:59Z,"","Warner Records",0.69,0.462,8,-8.054,1,0.13,0.343,0.00218,0.113,0.325,157.655,4
spotify:track:2dgrYdgguVZKeCsrVb9XEs,"What's the Use?","Swimming","Mac Miller",2018-08-03,288640,71,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:59Z,"","Warner Records",0.759,0.492,1,-10.338,0,0.12,0.736,0.00989,0.107,0.561,104.974,4
spotify:track:0Xcy81PsJCOO6mhLZaQyQ4,"Perfecto","Swimming","Mac Miller",2018-08-03,215413,62,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:59Z,"","Warner Records",0.599,0.317,1,-11.212,1,0.174,0.748,0,0.111,0.203,148.09,4
spotify:track:5bJ1DrEM4hNCafcDd1oxHx,"Self Care","Swimming","Mac Miller",2018-08-03,345133,76,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:59Z,"","Warner Records",0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894,4
spotify:track:16umSNZfofRpDqTvf8DIAo,"Wings","Swimming","Mac Miller",2018-08-03,250120,69,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:59Z,"","Warner Records",0.656,0.33,8,-8.771,1,0.162,0.818,0.00386,0.107,0.349,119.057,4
spotify:track:39NDBdU5Xkm5pCFGa5kZtI,"Ladders","Swimming","Mac Miller",2018-08-03,287040,72,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:59Z,"","Warner Records",0.802,0.463,8,-8.379,1,0.162,0.236,0.00531,0.105,0.291,103.961,4
spotify:track:4gT3mNJA8lnlkYFqGZ8IA2,"Small Worlds","Swimming","Mac Miller",2018-08-03,271733,76,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:59Z,"","Warner Records",0.516,0.546,5,-9.105,1,0.249,0.814,0.0000045,0.0995,0.515,78.267,4
spotify:track:1oFEAWvPHP5TdSlmIs77sV,"Conversation Pt. 1","Swimming","Mac Miller",2018-08-03,210253,60,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:59Z,"","Warner Records",0.787,0.472,6,-10.032,0,0.113,0.64,0.0000522,0.11,0.264,144.998,4
spotify:track:3YnwIp2b99p3e5dsFTXIIx,"Dunno","Swimming","Mac Miller",2018-08-03,237093,67,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:59Z,"","Warner Records",0.622,0.229,1,-11.322,1,0.0445,0.768,0.00906,0.134,0.0998,81.87,4
spotify:track:2JmFRXaJrkAUD2cs6U20KG,"Jet Fuel","Swimming","Mac Miller",2018-08-03,345213,69,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:59Z,"","Warner Records",0.791,0.557,7,-9.622,0,0.0698,0.54,0,0.103,0.284,119.973,4
spotify:track:6dFn6my1sHK2bcf23GlHwM,"2009","Swimming","Mac Miller",2018-08-03,347986,68,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:59Z,"","Warner Records",0.533,0.496,6,-9.363,0,0.517,0.77,0.000164,0.0969,0.173,155.158,4
spotify:track:0EA2RhRHL4KWeNa7JfD1Yw,"So It Goes","Swimming","Mac Miller",2018-08-03,312960,60,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:59Z,"","Warner Records",0.576,0.556,0,-6.474,1,0.231,0.812,0.125,0.0943,0.294,148.173,4
