Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1OubIZ0ARYCUq5kceYUQiO,"Congratulations (feat. Bilal)","The Divine Feminine","Mac Miller;Bilal",2016-09-16,256426,78,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:49Z,"neo soul","Warner Records",0.465,0.225,4,-12.637,0,0.0455,0.948,0.00155,0.18,0.207,57.75,4
spotify:track:5iUQMwxUPdJBFeGkePtM66,"Dang! (feat. Anderson .Paak)","The Divine Feminine","Mac Miller;Anderson .Paak",2016-09-16,305350,70,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:49Z,"","Warner Records",0.836,0.67,5,-6.907,0,0.23,0.00826,0.000355,0.0837,0.556,107.018,4
spotify:track:4brX8MJs5hxErgq48f9REO,"Stay","The Divine Feminine","Mac Miller",2016-09-16,326426,64,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:49Z,"","Warner Records",0.742,0.561,6,-7.017,1,0.139,0.566,0.000135,0.641,0.55,134.01,4
spotify:track:1eDS8ii1utvj0PjfQLrDb4,"Skin","The Divine Feminine","Mac Miller",2016-09-16,287906,65,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:49Z,"","Warner Records",0.614,0.591,5,-6.919,0,0.0651,0.527,0,0.111,0.481,120.04,4
spotify:track:2lpygKqzPFtItQ4ss3cgfb,"Cinderella (feat. Ty Dolla $ign)","The Divine Feminine","Mac Miller;Ty Dolla $ign",2016-09-16,480186,76,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:49Z,"trap soul","Warner Records",0.545,0.534,8,-6.874,0,0.047,0.235,0,0.345,0.24,140.021,4
spotify:track:7bd0BC9RNR6GxJsM3pRwBw,"Planet God Damn (feat. Njomza)","The Divine Feminine","Mac Miller;NJOMZA",2016-09-16,191746,58,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:49Z,"deep house","Warner Records",0.643,0.491,9,-12.87,0,0.641,0.633,0.000109,0.104,0.431,173.147,4
spotify:track:2puHJmjL4jvO19aEA7kzcb,"Soulmate","The Divine Feminine","Mac Miller",2016-09-16,272973,67,false,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:49Z,"","Warner Records",0.606,0.534,1,-6.904,1,0.512,0.132,0.0000011,0.148,0.561,111.044,4
spotify:track:4k5UZm89ZX0YAHUp55zpt9,"We (feat. CeeLo Green)","The Divine Feminine","Mac Miller;CeeLo Green",2016-09-16,319272,66,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:49Z,"","Warner Records",0.641,0.637,3,-9.43,0,0.0579,0.794,0.0515,0.131,0.601,138.869,4
spotify:track:66wkCYWlXzSTQAfnsPBptt,"My Favorite Part","The Divine Feminine","Mac Miller;Ariana Grande",2016-09-16,216000,72,false,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:49Z,"pop","Warner Records",0.861,0.33,6,-7.194,1,0.0526,0.627,0.00000193,0.14,0.718,95.016,4
spotify:track:6hzbRKhJHo6cfCHSnNaDS8,"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)","The Divine Feminine","Mac Miller;Kendrick Lamar",2016-09-16,500960,65,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:49Z,"hiphop,west coast hiphop","Warner Records",0.467,0.41,2,-12.028,1,0.185,0.328,0.0000428,0.113,0.136,95.931,4
