Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:78A1BSyjptAdXexhVBaAxd,"The Star Room","Watching Movies with the Sound Off","Mac Miller",2013-06-18,275283,53,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:22Z,"","Rostrum Records",0.449,0.675,8,-5.879,1,0.19,0.593,0.0000743,0.471,0.355,74.826,4
spotify:track:1I88fBg4mJvm4IcqNH42CX,"Avian","Watching Movies with the Sound Off","Mac Miller",2013-06-18,196756,52,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:22Z,"","Rostrum Records",0.548,0.689,7,-7.287,1,0.131,0.267,0,0.19,0.259,75.11,4
spotify:track:7DuHW9nvAq0od8usej2gCx,"I’m Not Real (feat. Earl Sweatshirt)","Watching Movies with the Sound Off","Mac Miller;Earl Sweatshirt",2013-06-18,203399,50,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:22Z,"experimentele hiphop,alternative hiphop","Rostrum Records",0.474,0.688,1,-6.047,1,0.194,0.401,0,0.657,0.737,152.086,4
spotify:track:1pwhLs14j1VHmDV9etyvDQ,"S.D.S.","Watching Movies with the Sound Off","Mac Miller",2013-06-18,184537,45,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:22Z,"","Rostrum Records",0.593,0.868,1,-4.645,1,0.36,0.229,0,0.156,0.294,93.165,4
spotify:track:3SvZhz390WqG8SAzrff2Fm,"Bird Call","Watching Movies with the Sound Off","Mac Miller",2013-06-18,128720,43,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:22Z,"","Rostrum Records",0.687,0.791,1,-8.626,1,0.26,0.225,0.00188,0.396,0.629,100.043,4
spotify:track:5dlQZ8vom0sx4VG7C7l6DY,"Matches (feat. Ab-Soul)","Watching Movies with the Sound Off","Mac Miller;Ab-Soul",2013-06-18,178410,44,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:22Z,"","Rostrum Records",0.707,0.738,10,-6.242,0,0.297,0.189,0,0.337,0.456,138.041,4
spotify:track:1H70lesesLf8YGokylylnA,"I Am Who Am (Killin' Time) [feat. Niki Randa]","Watching Movies with the Sound Off","Mac Miller;Niki Randa",2013-06-18,301096,49,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:22Z,"","Rostrum Records",0.368,0.619,4,-8.24,0,0.252,0.611,0.00000123,0.145,0.181,75.81,4
spotify:track:5Tvqb0G5ePEWiOB6Gh2o3d,"Objects in the Mirror","Watching Movies with the Sound Off","Mac Miller",2013-06-18,259143,70,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:22Z,"","Rostrum Records",0.645,0.658,1,-6.625,1,0.0532,0.623,0.0000202,0.107,0.19,77.021,4
spotify:track:1nrcJAnoSnd366Imt5ePQa,"Red Dot Music (feat. Action Bronson)","Watching Movies with the Sound Off","Mac Miller;Action Bronson",2013-06-18,367930,55,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:22Z,"east coast hiphop","Rostrum Records",0.537,0.686,5,-6.734,0,0.459,0.156,0,0.158,0.284,148.758,4
spotify:track:1LXhqGz0IjCe1CuAPOWowb,"Gees (feat. ScHoolboy Q)","Watching Movies with the Sound Off","Mac Miller;ScHoolboy Q",2013-06-18,175672,47,true,31yejwzsqon4eucavyhd35x4g6mu,2026-02-15T12:46:22Z,"","Rostrum Records",0.621,0.661,1,-5.04,1,0.346,0.153,0,0.634,0.596,188.255,4
